,k,mean,pc1_mean,pc2_mean,pc3_mean,std,pc1_std,pc2_std,pc3_std
46,47,0.8600000000000001,0.79,0.8099999999999999,0.8600000000000001,0.060415229867972854,0.10735455276791946,0.09062284480195927,0.060415229867972854
47,48,0.8625,0.79,0.8099999999999999,0.8625,0.058094750193111264,0.10735455276791946,0.09062284480195927,0.058094750193111264
48,49,0.865,0.7925000000000001,0.8099999999999999,0.865,0.0598957427535547,0.10624264680437889,0.09062284480195927,0.0598957427535547
49,50,0.8600000000000001,0.79,0.8099999999999999,0.8600000000000001,0.05667892024377317,0.10735455276791946,0.09062284480195927,0.05667892024377317
50,51,0.8575000000000002,0.79,0.8099999999999999,0.8575000000000002,0.060518592184551044,0.10735455276791946,0.09062284480195927,0.060518592184551044
51,52,0.8600000000000001,0.79,0.8099999999999999,0.8600000000000001,0.05667892024377317,0.10735455276791946,0.09062284480195927,0.05667892024377317
52,53,0.8575000000000002,0.7925000000000001,0.8125,0.8575000000000002,0.060518592184551044,0.10624264680437889,0.08696263565463044,0.060518592184551044
53,54,0.8550000000000001,0.79,0.8099999999999999,0.8550000000000001,0.05894913061275799,0.10735455276791946,0.09062284480195927,0.05894913061275799
54,55,0.8550000000000001,0.79,0.8099999999999999,0.8550000000000001,0.059476886266851624,0.10735455276791946,0.09062284480195927,0.059476886266851624
55,56,0.85,0.79,0.8075000000000001,0.85,0.0564579489531811,0.10735455276791946,0.0910357072801656,0.0564579489531811
56,57,0.8525,0.7925000000000001,0.8125,0.8525,0.05777110004145673,0.10624264680437889,0.08696263565463044,0.05777110004145673
57,58,0.85,0.7925000000000001,0.8099999999999999,0.85,0.0564579489531811,0.10624264680437889,0.09062284480195927,0.0564579489531811
58,59,0.8525,0.7925000000000001,0.8075000000000001,0.8525,0.05777110004145673,0.10624264680437889,0.0910357072801656,0.05777110004145673
59,60,0.85,0.7925000000000001,0.8099999999999999,0.85,0.0564579489531811,0.10624264680437889,0.09062284480195927,0.0564579489531811
60,61,0.8525,0.7925000000000001,0.8075000000000001,0.8525,0.055000000000000035,0.10624264680437889,0.0910357072801656,0.055000000000000035
61,62,0.8525,0.7925000000000001,0.8099999999999999,0.8525,0.055000000000000035,0.10624264680437889,0.09062284480195927,0.055000000000000035
62,63,0.8525,0.7925000000000001,0.8125,0.8525,0.055000000000000035,0.10624264680437889,0.08696263565463044,0.055000000000000035
63,64,0.8525,0.7925000000000001,0.8125,0.8525,0.055000000000000035,0.10624264680437889,0.09048480535426928,0.055000000000000035
64,65,0.8525,0.7925000000000001,0.8125,0.8525,0.05777110004145674,0.10624264680437889,0.08696263565463044,0.05777110004145674
65,66,0.8525,0.79,0.8125,0.8525,0.05777110004145674,0.10735455276791946,0.08696263565463044,0.05777110004145674
66,67,0.8525,0.7925000000000001,0.8125,0.8525,0.06294839156007086,0.10624264680437889,0.08403868156985808,0.06294839156007086
67,68,0.8474999999999999,0.79,0.8125,0.8474999999999999,0.06041522986797287,0.10735455276791946,0.08696263565463044,0.06041522986797287
68,69,0.85,0.7925,0.8150000000000001,0.85,0.061745445176142354,0.10386289038920493,0.0834415963413932,0.061745445176142354
69,70,0.845,0.7925,0.8150000000000001,0.845,0.06204836822995429,0.10386289038920493,0.0834415963413932,0.06204836822995429
70,71,0.8474999999999999,0.795,0.8150000000000001,0.8474999999999999,0.06041522986797287,0.10265232583823904,0.0834415963413932,0.06041522986797287
71,72,0.8425,0.7925,0.8125,0.8425,0.061032778078668526,0.10386289038920493,0.08696263565463044,0.061032778078668526
72,73,0.8425,0.7925,0.8125,0.8425,0.061032778078668526,0.10386289038920493,0.08696263565463044,0.061032778078668526
73,74,0.8425,0.7925,0.8125,0.8425,0.061032778078668526,0.10386289038920493,0.08696263565463044,0.061032778078668526
74,75,0.8400000000000001,0.7925,0.8125,0.8400000000000001,0.06294839156007087,0.10386289038920493,0.08696263565463044,0.06294839156007087
75,76,0.8400000000000001,0.7925,0.8125,0.8400000000000001,0.06294839156007087,0.10386289038920493,0.08696263565463044,0.06294839156007087
76,77,0.8400000000000001,0.7925,0.8125,0.8400000000000001,0.06294839156007087,0.10386289038920493,0.08696263565463044,0.06294839156007087
77,78,0.8375,0.795,0.8125,0.8375,0.061745445176142374,0.10565273304557718,0.08696263565463044,0.061745445176142374
78,79,0.835,0.795,0.8150000000000001,0.835,0.05556527692723217,0.10565273304557718,0.0834415963413932,0.05556527692723217
79,80,0.8325000000000001,0.795,0.8150000000000001,0.8325000000000001,0.0551135192126215,0.10565273304557718,0.0834415963413932,0.0551135192126215
80,81,0.8375,0.795,0.8125,0.8375,0.05419870847169699,0.10565273304557718,0.08403868156985808,0.05419870847169699
81,82,0.8300000000000001,0.795,0.8125,0.8300000000000001,0.0551135192126215,0.10565273304557718,0.08403868156985808,0.0551135192126215
82,83,0.8375,0.795,0.8125,0.8375,0.05419870847169699,0.10565273304557718,0.08403868156985808,0.05419870847169699
83,84,0.835,0.795,0.8099999999999999,0.835,0.053268189381656283,0.10565273304557718,0.08038967595406767,0.053268189381656283
84,85,0.8325000000000001,0.795,0.8125,0.8325000000000001,0.05396758286230725,0.10565273304557718,0.08403868156985808,0.05396758286230725
85,86,0.8375,0.795,0.8099999999999999,0.8375,0.05419870847169699,0.10565273304557718,0.08038967595406767,0.05419870847169699
86,87,0.8300000000000001,0.7925,0.8099999999999999,0.8300000000000001,0.05787918451395111,0.10204165815979276,0.08038967595406767,0.05787918451395111
87,88,0.8350000000000002,0.7925,0.8074999999999999,0.8350000000000002,0.05385164807134504,0.10204165815979276,0.08388980867781261,0.05385164807134504
88,89,0.8275,0.7925,0.8099999999999999,0.8275,0.05556527692723217,0.10204165815979276,0.08038967595406767,0.05556527692723217
89,90,0.82,0.7925,0.8074999999999999,0.82,0.05733672470589856,0.10204165815979276,0.08388980867781261,0.05733672470589856
90,91,0.8150000000000001,0.7925,0.8099999999999999,0.8150000000000001,0.05667892024377316,0.10204165815979276,0.08038967595406767,0.05667892024377316
91,92,0.8125,0.7925,0.8125,0.8125,0.05477225575051661,0.10204165815979276,0.08403868156985808,0.05477225575051661
92,93,0.8150000000000001,0.7925,0.8125,0.8150000000000001,0.053851648071345036,0.10204165815979276,0.08403868156985808,0.053851648071345036
93,94,0.8099999999999999,0.7925,0.8100000000000002,0.8099999999999999,0.05326818938165626,0.10204165815979276,0.08746427842267951,0.05326818938165626
94,95,0.8074999999999999,0.7899999999999999,0.8125,0.8074999999999999,0.05159941860137571,0.10289557813628337,0.08403868156985808,0.05159941860137571
95,96,0.8025,0.7925,0.8125,0.8025,0.05326818938165626,0.10204165815979276,0.08403868156985808,0.05326818938165626
96,97,0.8049999999999999,0.7899999999999999,0.8125,0.8049999999999999,0.052201532544552724,0.10289557813628337,0.08403868156985808,0.052201532544552724
97,98,0.8049999999999999,0.7899999999999999,0.8125,0.8049999999999999,0.052201532544552724,0.10289557813628337,0.08403868156985808,0.052201532544552724
98,99,0.8024999999999999,0.7899999999999999,0.8125,0.8024999999999999,0.05556527692723217,0.10289557813628337,0.08403868156985808,0.05556527692723217
99,100,0.8,0.7899999999999999,0.8125,0.8,0.054198708471696985,0.10289557813628337,0.08403868156985808,0.054198708471696985
100,101,0.7949999999999999,0.7899999999999999,0.8125,0.7949999999999999,0.051599418601375756,0.10289557813628337,0.08403868156985808,0.051599418601375756
101,102,0.7949999999999999,0.7899999999999999,0.8125,0.7949999999999999,0.04974937185533103,0.10289557813628337,0.08403868156985808,0.04974937185533103
102,103,0.7925,0.7899999999999999,0.8125,0.7925,0.051599418601375756,0.10289557813628337,0.08403868156985808,0.051599418601375756
103,104,0.7949999999999999,0.7899999999999999,0.8125,0.7949999999999999,0.05396758286230727,0.10289557813628337,0.08403868156985808,0.05396758286230727
104,105,0.7925,0.7899999999999999,0.8125,0.7925,0.05567764362830023,0.10289557813628337,0.08403868156985808,0.05567764362830023
105,106,0.7925,0.7899999999999999,0.8125,0.7925,0.05567764362830023,0.10289557813628337,0.08403868156985808,0.05567764362830023
106,107,0.7875,0.7899999999999999,0.8125,0.7875,0.04873397172404482,0.10289557813628337,0.08403868156985808,0.04873397172404482
107,108,0.7875,0.7925,0.8125,0.7875,0.053033008588991085,0.09956153875869939,0.08403868156985808,0.053033008588991085
108,109,0.7825,0.7899999999999999,0.8125,0.7825,0.05279678020485718,0.10289557813628337,0.08403868156985808,0.05279678020485718
109,110,0.7825,0.7925,0.8125,0.7825,0.05279678020485718,0.09956153875869939,0.08403868156985808,0.05279678020485718
110,111,0.7825,0.7925,0.8125,0.7825,0.05396758286230724,0.09956153875869939,0.08403868156985808,0.05396758286230724
111,112,0.78,0.7925,0.8125,0.78,0.05099019513592784,0.09956153875869939,0.08403868156985808,0.05099019513592784
112,113,0.78,0.7899999999999999,0.8125,0.78,0.05099019513592784,0.10289557813628337,0.08403868156985808,0.05099019513592784
113,114,0.7775000000000001,0.79,0.8125,0.7775000000000001,0.052081666639999115,0.1010569146570387,0.08403868156985808,0.052081666639999115
114,115,0.7775000000000001,0.7925000000000001,0.8125,0.7775000000000001,0.04834769901453428,0.09797958971132711,0.08403868156985808,0.04834769901453428
115,116,0.7775000000000001,0.7925000000000001,0.8125,0.7775000000000001,0.04834769901453428,0.09797958971132711,0.08403868156985808,0.04834769901453428
116,117,0.7725,0.7925000000000001,0.8125,0.7725,0.04636809247747851,0.09797958971132711,0.08403868156985808,0.04636809247747851
